source,target,mean_diff,p,perms,rank,q
1,9,-0.08333333333333337,0.2501830607761777,4096,311,0.15713260366798212
2,9,0.33333333333333326,0.03148645350256285,4096,70,0.17839611639953354
3,9,0.0,0.03148645350256285,4096,66,0.17839611639953354
4,9,-0.16666666666666674,0.12521357090554064,4096,286,0.15713260366798212
5,9,0.0,0.12521357090554064,4096,271,0.15713260366798212
6,9,0.0,0.12521357090554064,4096,264,0.15713260366798212
7,9,0.08333333333333337,0.2501830607761777,4096,339,0.15713260366798212
8,9,-0.08333333333333326,0.2501830607761777,4096,350,0.15713260366798212
10,9,-0.08333333333333326,0.2501830607761777,4096,359,0.15713260366798212
11,9,-0.3333333333333333,0.12521357090554064,4096,246,0.15713260366798212
12,9,0.0,0.12521357090554064,4096,279,0.15713260366798212
13,9,-0.16666666666666663,0.12521357090554064,4096,277,0.15713260366798212
14,9,0.0,0.5001220405174518,4096,425,0.15713260366798212
15,9,0.0,0.12521357090554064,4096,226,0.15713260366798212
16,9,0.08333333333333331,0.2501830607761777,4096,355,0.15713260366798212
17,9,0.08333333333333337,0.06272882597022211,4096,152,0.15774401457719606
18,9,0.0,0.5001220405174518,4096,466,0.15713260366798212
19,9,0.0,0.5001220405174518,4096,439,0.15713260366798212
20,9,-0.08333333333333326,0.2501830607761777,4096,399,0.15713260366798212
21,9,0.25,0.06272882597022211,4096,194,0.15774401457719606
22,9,-0.24999999999999994,0.06272882597022211,4096,172,0.15774401457719606
0,10,0.25,0.06272882597022211,4096,192,0.15774401457719606
1,10,0.08333333333333337,0.06272882597022211,4096,185,0.15774401457719606
2,10,0.16666666666666674,0.5001220405174518,4096,432,0.15713260366798212
3,10,-0.16666666666666663,0.008054674151818403,4096,10,0.4075665120820112
4,10,-0.25,0.06272882597022211,4096,124,0.15774401457719606
5,10,0.08333333333333326,0.2501830607761777,4096,366,0.15713260366798212
6,10,0.16666666666666663,0.5001220405174518,4096,427,0.15713260366798212
7,10,0.25,0.2501830607761777,4096,338,0.15713260366798212
8,10,0.0,0.5001220405174518,4096,421,0.15713260366798212
9,10,0.16666666666666663,0.5001220405174518,4096,456,0.15713260366798212
11,10,0.08333333333333337,0.2501830607761777,4096,325,0.15713260366798212
12,10,0.16666666666666674,0.03148645350256285,4096,51,0.17839611639953354
13,10,0.08333333333333326,0.2501830607761777,4096,309,0.15713260366798212
14,10,0.33333333333333337,0.12521357090554064,4096,250,0.15713260366798212
15,10,0.25,0.06272882597022211,4096,129,0.15774401457719606
16,10,0.25,0.06272882597022211,4096,190,0.15774401457719606
17,10,0.25,0.06272882597022211,4096,156,0.15774401457719606
18,10,0.08333333333333326,0.2501830607761777,4096,401,0.15713260366798212
19,10,0.16666666666666663,0.5001220405174518,4096,438,0.15713260366798212
20,10,0.0,0.5001220405174518,4096,444,0.15713260366798212
21,10,0.33333333333333326,0.03148645350256285,4096,93,0.17131339217523445
