source,target,mean_diff,p,perms,rank,q
14,9,-0.08333333333333326,1.0,20000,356,1.0
15,9,0.08333333333333337,1.0,20000,396,1.0
16,9,-0.08333333333333331,1.0,20000,410,1.0
17,9,0.08333333333333326,1.0,20000,418,1.0
18,9,-0.08333333333333326,1.0,20000,437,1.0
19,9,-0.08333333333333326,1.0,20000,240,1.0
20,9,0.0,1.0,20000,430,1.0
21,9,-0.25,0.3167841607919604,20000,68,1.0
22,9,0.0,1.0,20000,492,1.0
0,10,-0.08333333333333326,1.0,20000,490,1.0
1,10,-0.08333333333333337,1.0,20000,250,1.0
2,10,0.08333333333333326,1.0,20000,227,1.0
3,10,0.25,0.4023298835058247,20000,103,1.0
4,10,0.25,0.3670316484175791,20000,80,1.0
5,10,-0.08333333333333326,1.0,20000,371,1.0
6,10,0.0,1.0,20000,365,1.0
7,10,0.0,1.0,20000,307,1.0
8,10,0.08333333333333326,1.0,20000,459,1.0
9,10,-0.08333333333333337,1.0,20000,469,1.0
11,10,-0.08333333333333337,1.0,20000,287,1.0
12,10,-0.33333333333333337,0.19634018299085046,20000,47,1.0
13,10,0.0,1.0,20000,336,1.0
14,10,-0.08333333333333337,1.0,20000,357,1.0
15,10,-0.08333333333333337,1.0,20000,397,1.0
16,10,-0.16666666666666669,0.6874656267186641,20000,219,1.0
17,10,-0.16666666666666663,0.5856707164641768,20000,136,1.0
18,10,-0.08333333333333326,1.0,20000,438,1.0
19,10,-0.08333333333333337,1.0,20000,241,1.0
20,10,0.08333333333333326,1.0,20000,431,1.0
21,10,-0.33333333333333326,0.1551922403879806,20000,39,1.0
22,10,0.0,1.0,20000,493,1.0
0,11,0.0,1.0,20000,254,1.0
1,11,-0.08333333333333337,1.0,20000,251,1.0
2,11,-0.08333333333333337,1.0,20000,228,1.0
3,11,-0.08333333333333337,1.0,20000,454,1.0
4,11,0.08333333333333337,1.0,20000,402,1.0
5,11,0.0,1.0,20000,372,1.0
6,11,0.08333333333333326,1.0,20000,366,1.0
7,11,0.0,1.0,20000,308,1.0
8,11,-0.08333333333333337,1.0,20000,460,1.0
9,11,-0.25,0.21653917304134793,20000,54,1.0
10,11,-0.08333333333333337,1.0,20000,486,1.0
12,11,0.08333333333333337,1.0,20000,327,1.0
13,11,-0.08333333333333326,1.0,20000,345,1.0
14,11,-0.33333333333333337,0.0943452827358632,20000,24,1.0
15,11,-0.33333333333333337,0.1951402429878506,20000,46,1.0
16,11,-0.16666666666666663,0.6810659467026648,20000,209,1.0
17,11,0.0,1.0,20000,423,1.0
18,11,0.0,1.0,20000,439,1.0
19,11,-0.08333333333333337,1.0,20000,242,1.0
20,11,0.25,0.3961801909904505,20000,96,1.0
21,11,-0.25,0.32103394830258486,20000,77,1.0
22,11,0.16666666666666669,0.68011599420029,20000,205,1.0
0,12,-0.16666666666666663,0.5856207189640518,20000,135,1.0
1,12,-0.08333333333333326,1.0,20000,258,1.0
2,12,0.08333333333333337,1.0,20000,229,1.0
3,12,0.4166666666666667,0.09409529523523824,20000,21,1.0
4,12,0.08333333333333326,1.0,20000,403,1.0
5,12,-0.08333333333333337,1.0,20000,391,1.0
6,12,0.08333333333333337,1.0,20000,367,1.0
7,12,0.16666666666666663,0.47172641367931606,20000,112,1.0
8,12,0.0,1.0,20000,461,1.0
9,12,0.0,1.0,20000,473,1.0
