source,target,mean_diff,p,perms,rank,q
1,9,0.0,1.0,20000,260,1.0
2,9,0.25,0.3672316384180791,20000,73,1.0
3,9,0.0,1.0,20000,485,1.0
4,9,0.0,1.0,20000,425,1.0
5,9,-0.08333333333333337,1.0,20000,393,1.0
6,9,0.08333333333333326,1.0,20000,389,1.0
7,9,0.08333333333333337,1.0,20000,358,1.0
8,9,-0.08333333333333326,1.0,20000,325,1.0
10,9,-0.08333333333333326,1.0,20000,272,1.0
11,9,-0.16666666666666663,0.6681665916704165,20000,206,1.0
12,9,0.16666666666666663,0.591820408979551,20000,153,1.0
13,9,0.0,1.0,20000,300,1.0
14,9,-0.08333333333333326,1.0,20000,341,1.0
15,9,0.08333333333333337,1.0,20000,386,1.0
16,9,0.0,1.0,20000,371,1.0
17,9,0.16666666666666663,0.5862206889655517,20000,133,1.0
18,9,-0.08333333333333326,1.0,20000,449,1.0
19,9,-0.08333333333333326,1.0,20000,442,1.0
20,9,-0.08333333333333326,1.0,20000,469,1.0
21,9,0.0,1.0,20000,248,1.0
22,9,-0.24999999999999994,0.4144292785360732,20000,107,1.0
0,10,0.16666666666666674,0.6468676566171692,20000,195,1.0
1,10,0.0,1.0,20000,261,1.0
2,10,0.25,0.3152342382880856,20000,51,1.0
3,10,0.08333333333333337,1.0,20000,486,1.0
4,10,0.0,1.0,20000,426,1.0
5,10,0.0,1.0,20000,394,1.0
6,10,0.16666666666666663,0.5900704964751763,20000,145,1.0
7,10,0.25,0.3157842107894605,20000,55,1.0
8,10,0.08333333333333326,1.0,20000,326,1.0
9,10,0.08333333333333326,1.0,20000,285,1.0
11,10,0.0,1.0,20000,296,1.0
12,10,-0.16666666666666663,0.6778161091945403,20000,217,1.0
13,10,0.08333333333333326,1.0,20000,301,1.0
14,10,0.25,0.3214339283035848,20000,69,1.0
15,10,0.16666666666666663,0.6642167891605419,20000,200,1.0
16,10,0.08333333333333331,1.0,20000,372,1.0
17,10,0.08333333333333337,1.0,20000,407,1.0
18,10,0.0,1.0,20000,450,1.0
19,10,0.08333333333333326,1.0,20000,443,1.0
20,10,0.08333333333333326,1.0,20000,470,1.0
21,10,0.0,1.0,20000,249,1.0
22,10,-0.16666666666666663,0.6698165091745413,20000,211,1.0
0,11,-0.16666666666666674,0.6345182740862957,20000,165,1.0
1,11,0.0,1.0,20000,262,1.0
2,11,0.0,1.0,20000,491,1.0
3,11,0.0,1.0,20000,487,1.0
4,11,0.16666666666666674,0.6371681415929203,20000,170,1.0
5,11,0.0,1.0,20000,395,1.0
6,11,0.08333333333333326,1.0,20000,366,1.0
7,11,0.08333333333333337,1.0,20000,359,1.0
8,11,0.08333333333333337,1.0,20000,327,1.0
9,11,-0.16666666666666663,0.592020398980051,20000,155,1.0
10,11,-0.08333333333333337,1.0,20000,273,1.0
12,11,0.08333333333333337,1.0,20000,312,1.0
13,11,0.0,1.0,20000,302,1.0
14,11,-0.25,0.319934003299835,20000,67,1.0
15,11,-0.25,0.3987800609969501,20000,94,1.0
16,11,0.16666666666666669,0.6855657217139143,20000,235,1.0
17,11,0.25,0.312134393280336,20000,46,1.0
18,11,-0.08333333333333326,1.0,20000,451,1.0
19,11,0.0,1.0,20000,478,1.0
20,11,0.0,1.0,20000,471,1.0
21,11,-0.08333333333333337,1.0,20000,250,1.0
22,11,0.0,1.0,20000,495,1.0
0,12,0.3333333333333333,0.21783910804459777,20000,38,1.0
1,12,0.16666666666666674,0.6362681865906704,20000,167,1.0
2,12,0.5,0.013549322533873306,20000,1,1.0
3,12,0.33333333333333337,0.19474026298685065,20000,34,1.0
4,12,0.16666666666666663,0.5846707664616769,20000,129,1.0
5,12,0.25,0.3142842857857107,20000,49,1.0
6,12,0.41666666666666663,0.03619819009049548,20000,3,1.0
7,12,0.41666666666666663,0.037248137593120345,20000,4,1.0
8,12,0.08333333333333337,1.0,20000,328,1.0
